작성일,종목명,종목코드,제목,적정가격,평가의견,작성자,작성기관,기업정보,첨부파일,현재가격
2025-11-13,JYP Ent.,035900, JYP Ent 매니지먼트 비용 증가 JYP Ent 매니지먼트 비용 증가 매니지먼트 비용 증가 ,"93,000",Buy,박성호,LS증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=035900&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644742,67800
2025-11-13,메쎄이상,408920, 3Q25 Review 향후 5년간 Full CAPA 예상 3Q25 Review 향후 5년간 Full CAPA 예상 3Q25 Review 향후 5년간 Full CAPA 예상 ,"4,830",Buy,정우성,LS증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=408920&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644741,3220
2025-11-13,한국가스공사,036460, 미수금 회수 부진으로 통상적 배당성향 복원 지연 미수금 회수 부진으로 통상적 배당성향 복원 지연 미수금 회수 부진으로 통상적 배당성향 복원 지연 ,"50,000",Buy,성종화,LS증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=036460&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644740,41000
2025-11-13,더존비즈온,012510, 분기 실적보다는 중장기 방향성 변화에 집중 분기 실적보다는 중장기 방향성 변화에 집중 분기 실적보다는 중장기 방향성 변화에 집중 ,"116,500",Buy,정우성,LS증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=012510&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644739,94700
2025-11-13,JYP Ent.,035900, JYP Ent 원가 부담 확대에 따른 수익성 저하 JYP Ent 원가 부담 확대에 따른 수익성 저하 원가 부담 확대에 따른 수익성 저하 ,"100,000",Buy,황지원,iM증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=035900&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644738,67800
2025-11-13,롯데케미칼,011170, 이번에는 진짜로 4년 만의 바닥 탈출 기대 이번에는 진짜로 4년 만의 바닥 탈출 기대 이번에는 진짜로 4년 만의 바닥 탈출 기대 ,"110,000",Buy,"전유진,장호",iM증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=011170&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644737,80000
2025-11-12,이마트,139480, 계획대로 진행 중 계획대로 진행 중 영업환경 감안하면 3분기 실적은 서프라이즈 4분기 영업이익 흑자 기대 ,"104,000",Buy,남성현,IBK투자증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=139480&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644735,80400
2025-11-12,대한조선,439260, 수에즈막스 탱커 2척 추가 수주 28년 슬롯도 완판에 가까워짐 수에즈막스 탱커 2척 추가 수주 28년 슬롯도 완판에 가까워짐 노르딕 아메리칸 탱커스 NAT 로부터 수에즈막스 탱커 2척 수주 보도 ,0,N/A,오지훈,IBK투자증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=439260&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644733,67600
2025-11-12,대한조선,439260, 공포를 사야 할 때 공포를 사야 할 때 3개월 뒤의 보호예수 해제 물량 정말로 우려할 수준인가에 대해 ,"100,000",Buy,오지훈,IBK투자증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=439260&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644732,67600
2025-11-12,이마트,139480, 3Q25 Review 다가온 반격의 시간 3Q25 Review 다가온 반격의 시간 3Q25 Review ,"120,000",Buy,이진협,한화투자증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=139480&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644728,80400
